client_id,primary_org_id,first_name,last_name,middle_name,aliases,dob,age,gender,indigenous_identity,citizenship_status,veteran_status,primary_language,current_sleeping_location,housing_status,first_homeless_date,current_episode_start_date,days_homeless_past_3_years,chronic_homeless_flag,mental_health_flag,substance_use_flag,physical_health_flag,developmental_flag,bnl_active_flag,bnl_status,ca_enrolled_flag,ca_priority_level,assessment_tool,assessment_date,assessment_total_score,assessment_acuity_level,last_contact_date,ocap_protected,ocap_governing_nation,ocap_data_use_conditions,consent_coverage_level,default_sharing_scope,current_consent_id,phone,email
CLI-0013,ORG-0007,Elizabeth,Fowler,,,01/25/1973,53,female,unknown,refugee_claimant,False,english,institution,homeless,2022-12-19,2025-10-17,903,True,False,False,False,False,True,housed,True,p3,none,,,,2026-02-21,False,,,partial,single_agency_only,CNS-01231,(250) 256-8365,bowenmichael@example.net
CLI-0014,ORG-0009,Lee,Hernandez,,,1981-12-10,45,male,non_indigenous,canadian_citizen,True,english,housed,housed,2022-09-18,2024-11-23,70,True,True,False,True,False,False,,False,,VI_SPDAT,2025-03-09,7.0,moderate,03/13/2026,False,,,partial,no_sharing,CNS-00023,250-963-0870,donald37@example.org
CLI-0015,ORG-0004,PAMELA,Ryan,,,22/11/1988,38,female,non_indigenous,refugee_claimant,False,indigenous_language,hotel_motel,homeless,04/03/2022,2024-02-02,463,False,False,False,False,False,False,,True,p1,family,2025-05-13,3.0,low,2026-02-20,False,,,full,no_sharing,CNS-03647,(250) 670-6220,colton17@example.net
CLI-0016,ORG-0001,Paula,Moreno,,Aaron,11/02/1969,57,female,unknown,canadian_citizen,False,english,emergency_shelter,homeless,24/10/2024,2025-02-18,365,True,True,True,False,False,False,,False,,VI_SPDAT,2025-02-07,11.0,high,2026-03-10,False,,,partial,all_dsa_agencies,CNS-00025,(250) 515-2494,wgoodwin@example.com
CLI-0017,ORG-0004,Fred,Smith,,,1961-10-26,65,male,non_indigenous,canadian_citizen,False,english,transitional_housing,homeless,2019-09-20,"August 07, 2024",390,True,False,True,False,False,False,,False,,VI_SPDAT,2025-09-17,8.0,high,2026-03-19,False,,,none,single_agency_only,CNS-03487,(250) 467-0715,kenneth75@example.com
CLI-0018,ORG-0006,Tanya,Koch,,,1999-08-19,27,female,non_indigenous,canadian_citizen,False,english,emergency_shelter,homeless,2022-07-24,2025-04-19,522,False,True,True,False,False,True,active,True,p1,none,,,,2026-02-16,False,,,none,limited_agencies,CNS-03223,,ashley90@example.org
CLI-0019,ORG-0005,Ronald,Parker,,,1986-12-18,40,male,non_indigenous,canadian_citizen,False,english,emergency_shelter,homeless,20/11/2023,07/23/2025,609,True,True,True,True,False,True,housed,True,p3,local,29/12/2025,5.0,moderate,2026-02-04,False,,,minimal,all_dsa_agencies,CNS-03723,(250) 860-6842,aimeejohnson@example.com
CLI-0020,ORG-0001,Anthony,Humphrey,,Stacey,2002-01-19,24,male,non_indigenous,canadian_citizen,False,english,unsheltered,homeless,2024-04-25,2025-03-02,204,False,True,False,True,True,False,,False,,VI_SPDAT,2024-04-07,10.0,high,2026-03-26,False,,,none,no_sharing,CNS-03756,(250) 624-2999,
CLI-0021,ORG-0008,Angelica,Tucker,,,1983-01-20,43,two_spirit,first_nations,canadian_citizen,False,english,transitional_housing,homeless,2020-08-07,31/10/2023,609,False,True,True,True,False,False,,False,,VI_SPDAT,2024-02-10,8.0,high,14/03/2026,True,Songhees,No secondary use; annual review; nation data steward approval,full,limited_agencies,CNS-01364,(250) 685-0562,
CLI-0022,ORG-0003,Andrea,hODgeS,,,05/20/1997,29,female,non_indigenous,canadian_citizen,True,english,emergency_shelter,homeless,2019-01-11,2021-08-05,72,True,False,False,False,False,True,housed,True,p2,VI_SPDAT,2025-08-21,3.0,low,03/26/2026,False,,,none,single_agency_only,CNS-01926,(250) 802-2738,dwaynecarter@example.com
CLI-0023,ORG-0003,Ralph,ANDERSON,,,11/07/1981,45,male,first_nations,canadian_citizen,False,english,emergency_shelter,homeless,2018-01-06,2025-05-22,976,False,False,False,False,False,True,housed,True,p2,VI_SPDAT,2023-04-16,3.0,low,2026-02-14,False,,,minimal,limited_agencies,CNS-04141,250.738.9179,dana03@example.net
CLI-0024,ORG-0005,John,Pierce,Joseph,,1960-10-26,66,male,metis,canadian_citizen,False,english,couch_surfing,homeless,2022-08-30,2025-05-14,997,False,True,False,False,False,False,,False,,VI_SPDAT,2023-10-07,13.0,very_high,2026-01-27,True,Tsawout,No secondary use; annual review; nation data steward approval,minimal,no_sharing,CNS-00040,(250) 645-9318,
CLI-0025,ORG-0006,SHELIA,Henderson,Jason,,1980-10-19,46,unknown,non_indigenous,other,False,other,emergency_shelter,homeless,2020-08-15,2025-03-24,119,False,True,False,False,False,False,,False,,VI_SPDAT,2023-11-08,5.0,moderate,2026-03-23,False,,,full,limited_agencies,CNS-00041,,kwoods@example.com
CLI-0026,ORG-0009,Kimberly,BLAIR,,James,1998-08-01,28,female,non_indigenous,canadian_citizen,False,indigenous_language,transitional_housing,homeless,04/07/2022,2024-01-15,1029,True,False,False,False,False,False,,False,,family,10/04/2024,13.0,very_high,30/01/2026,False,,,none,all_dsa_agencies,CNS-02646,2505098819,brendamason@example.net
CLI-0027,ORG-0002,Eric,Carney,Debra,,"March 23, 2003",23,male,first_nations,canadian_citizen,False,french,unsheltered,homeless,2023-08-02,2026-02-21,323,True,True,False,True,False,False,,True,p2,local,2025-08-10,5.0,moderate,2026-02-24,True,Esquimalt,No secondary use; annual review; nation data steward approval,partial,all_dsa_agencies,CNS-01297,(250) 298-8064,nicholas72@example.net
CLI-0028,ORG-0008,Jeffrey,Holmes,,,1971-08-28,55,male,prefer_not_to_answer,permanent_resident,False,english,housed,housed,2024-10-20,2026-03-12,616,True,True,False,True,False,True,housed,True,p3,VI_SPDAT,2024-05-28,13.0,very_high,2026-04-15,False,,,partial,all_dsa_agencies,CNS-01753,250-966-2800,ythompson@example.org
CLI-0029,ORG-0001,Barbara,Walker,,,1987-03-03,39,female,non_indigenous,canadian_citizen,False,english,unsheltered,homeless,2021-04-24,2025-06-30,723,True,False,False,False,False,False,,False,,VI_SPDAT,24/03/2025,5.0,moderate,2026-03-31,False,,,minimal,all_dsa_agencies,CNS-00048,250-228-6830,petersonkyle@example.org
CLI-0030,ORG-0007,Gina,CHAPMAN,Jerry,Jeffrey,"November 24, 1993",33,female,non_indigenous,unknown,False,english,hotel_motel,homeless,2022-08-01,2023-03-27,316,False,True,True,True,False,True,housed,True,p2,TAY_VI_SPDAT,2026-01-05,14.0,very_high,2026-02-05,False,,,none,no_sharing,,250-309-3687,joshuastrickland@example.org
CLI-0031,ORG-0006,andREA,Welch,,,,70,female,non_indigenous,permanent_resident,False,english,housed,housed,06/20/2022,2024-01-06,418,True,False,True,False,False,False,,True,p3,VI_SPDAT,2023-02-13,16.0,very_high,2026-01-25,False,,,minimal,limited_agencies,CNS-04513,(250) 846-5713,michaelstevens@example.net
CLI-0032,ORG-0003,Crystal,Whitehead,Michele,,"April 11, 1963",63,female,non_indigenous,canadian_citizen,False,english,couch_surfing,homeless,12/16/2019,2022-12-06,137,True,False,False,False,False,True,housed,True,p1,VI_SPDAT,2025-01-11,13.0,very_high,2026-03-25,False,,,full,no_sharing,CNS-01969,2509279709,larsenmegan@example.net
CLI-0033,ORG-0009,Benjamin,Young,,,1982-11-01,44,male,non_indigenous,canadian_citizen,False,english,unsheltered,homeless,11/04/2022,2025-08-16,633,False,False,False,True,False,False,,True,p3,family,2026-02-03,2.0,low,2026-02-15,False,,,none,no_sharing,CNS-00052,250-420-0206,judithcox@example.org
CLI-0034,ORG-0004,Michael,LEWIS,,,1991-02-11,35,male,non_indigenous,refugee_claimant,False,english,unsheltered,homeless,"July 31, 2024",2026-02-26,705,True,False,True,False,False,False,,False,,VI_SPDAT,04/16/2023,12.0,very_high,2026-02-24,False,,,minimal,single_agency_only,CNS-00053,(250) 643-4404,vsims@example.net
CLI-0035,ORG-0002,Brandi,WALLS,,,2002-04-05,24,female,non_indigenous,canadian_citizen,True,english,emergency_shelter,homeless,2025-03-18,2025-12-28,83,False,True,False,False,False,False,,False,,none,,,,2026-02-27,False,,,minimal,single_agency_only,CNS-04224,(250) 772-3524,nelsonsuzanne@example.net
CLI-0036,ORG-0001,Laura,KENNEDY,,,2008-12-21,18,two_spirit,first_nations,canadian_citizen,False,english,couch_surfing,homeless,2025-07-24,2025-09-03,587,False,False,True,False,False,False,,False,,none,,,,2026-03-25,True,Songhees,No secondary use; annual review; nation data steward approval,full,single_agency_only,CNS-04587,250.549.8706,
CLI-0037,ORG-0007,Richard,AGUIRRE,James,,1992-05-02,34,male,prefer_not_to_answer,canadian_citizen,True,indigenous_language,emergency_shelter,homeless,2024-04-08,2026-02-21,755,True,False,False,False,False,True,housed,True,p3,VI_SPDAT,"October 03, 2024",9.0,high,2026-04-02,False,,,none,no_sharing,CNS-02318,,johnrobles@example.org
CLI-0038,ORG-0007,Anne,Jordan,,,1960-03-26,66,non_binary,non_indigenous,canadian_citizen,False,english,transitional_housing,homeless,2019-11-21,28/09/2020,1075,False,False,True,False,False,False,,False,,VI_SPDAT,2023-10-30,14.0,very_high,2026-02-18,False,,,full,limited_agencies,CNS-00058,(250) 474-1943,
CLI-0039,ORG-0005,jeff,Owens,,,1961-11-03,65,male,non_indigenous,permanent_resident,False,english,unsheltered,homeless,2019-09-12,2024-08-17,169,False,False,False,False,False,False,,False,,family,01/06/2023,10.0,high,2026-02-27,False,,,none,no_sharing,CNS-04661,(250) 398-7645,
CLI-0040,ORG-0001,Monica,nunez,,Tracey,,55,female,non_indigenous,canadian_citizen,True,english,couch_surfing,homeless,2023-01-21,2023-08-20,733,False,False,True,False,False,False,,False,,VI_SPDAT,2025-06-18,10.0,high,2026-03-27,False,,,partial,single_agency_only,CNS-03301,250.532.2284,
CLI-0041,ORG-0006,Annette,Powell,Matthew,,1967-01-26,59,female,non_indigenous,canadian_citizen,False,english,unsheltered,homeless,2025-05-12,2026-04-16,832,False,True,True,False,False,False,,True,p2,family,11/03/2024,5.0,moderate,2026-02-04,False,,,full,no_sharing,CNS-02980,250-847-0374,alexandrabrown@example.org
CLI-0042,ORG-0009,Shannon,Wright,,,2001-04-11,25,non_binary,non_indigenous,permanent_resident,False,english,emergency_shelter,homeless,"September 25, 2019",2021-07-20,400,True,True,False,True,False,True,active,True,p3,none,,,,2026-03-12,False,,,minimal,limited_agencies,CNS-00063,2504335372,brendaperkins@example.com
CLI-0043,ORG-0008,Connor,West,,,1987-08-27,39,male,non_indigenous,canadian_citizen,False,english,couch_surfing,homeless,2018-08-03,2025-10-11,1014,False,False,False,False,False,False,,False,,VI_SPDAT,2024-08-06,6.0,moderate,2026-01-29,False,,,partial,single_agency_only,CNS-03191,(250) 570-5788,herrerakimberly@example.com
CLI-0044,ORG-0008,JAVIER,Ramirez,John,,1958-04-27,68,male,non_indigenous,canadian_citizen,False,english,emergency_shelter,homeless,2019-08-23,08/03/2021,108,True,False,True,False,False,False,,False,,VI_SPDAT,2025-07-07,15.0,very_high,2026-04-07,False,,,full,all_dsa_agencies,CNS-02493,250-412-1820,gonzalezdarren@example.org
CLI-0045,ORG-0001,Thomas,RAMOS,Michelle,Andrea,17/10/1943,83,male,non_indigenous,canadian_citizen,False,english,emergency_shelter,homeless,"June 14, 2024",2025-02-16,324,True,True,False,False,True,False,,False,,none,,,,2026-04-14,False,,,full,single_agency_only,CNS-03629,(250) 408-3211,igonzalez@example.net
CLI-0046,ORG-0002,Amber,Kidd,Mary,,17/09/2002,24,female,non_indigenous,permanent_resident,False,english,emergency_shelter,homeless,2026-04-01,2026-04-11,303,False,True,False,False,False,False,,True,p1,VI_SPDAT,2025-08-09,2.0,low,2026-04-18,False,,,none,limited_agencies,CNS-01366,250.469.2758,carmenevans@example.org
CLI-0047,ORG-0003,Wayne,House,,,"April 02, 1987",39,male,non_indigenous,canadian_citizen,False,english,unsheltered,homeless,2022-02-17,07/30/2024,849,False,False,True,False,False,False,,False,,none,,,,2026-03-23,False,,,minimal,single_agency_only,CNS-00070,250-409-3836,Unknown
CLI-0048,ORG-0002,Sarah,Martin,Todd,,2004-02-14,22,female,non_indigenous,canadian_citizen,False,english,couch_surfing,homeless,2021-01-30,2024-08-31,147,True,True,False,False,False,True,housed,True,p2,VI_SPDAT,2023-03-05,11.0,high,2026-02-06,False,,,none,all_dsa_agencies,CNS-02391,2506932911,999
CLI-0049,ORG-0003,CINDY,mORALes,,,1994-10-02,32,female,non_indigenous,canadian_citizen,False,english,housed,housed,04/20/2024,2024-08-18,566,False,False,False,False,False,False,,True,p2,family,2025-10-02,6.0,moderate,2026-02-13,False,,,full,limited_agencies,CNS-02635,(250) 633-8498,qgay@example.com
CLI-0050,ORG-0002,Anthony,gray,,Tricia,2003-03-23,23,male,first_nations,canadian_citizen,False,english,transitional_housing,homeless,2025-02-26,05/26/2025,770,False,True,True,True,False,False,,False,,none,,,,2026-01-22,False,,,minimal,single_agency_only,CNS-04899,(250) 286-2076,
CLI-0051,ORG-0008,DEBORAH,Bowers,,Spencer,2002-07-23,24,female,non_indigenous,canadian_citizen,False,english,transitional_housing,homeless,2025-03-06,2025-12-31,402,False,True,False,False,False,False,,False,,local,2025-11-27,8.0,high,07/02/2026,False,,,minimal,limited_agencies,CNS-04287,2505978058,
CLI-0052,ORG-0003,Jay,Bernard,,Wendy,1944-02-09,82,male,prefer_not_to_answer,canadian_citizen,False,english,emergency_shelter,homeless,"October 15, 2021",2024-12-12,114,False,False,True,False,False,False,,False,,TAY_VI_SPDAT,2024-03-07,5.0,moderate,2026-04-02,False,,,none,all_dsa_agencies,CNS-02748,250-755-6120,michelle35@example.com
CLI-0053,ORG-0008,Justin,Higgins,,,1992-11-13,34,male,first_nations,canadian_citizen,False,english,emergency_shelter,homeless,2019-06-21,2023-08-16,1084,False,False,True,False,False,False,,False,,local,2023-07-18,12.0,very_high,2026-01-25,False,,,minimal,no_sharing,CNS-02253,2509887742,
CLI-0054,ORG-0007,Christopher,phillips,,,1970-04-25,56,male,prefer_not_to_answer,refugee_claimant,False,english,unsheltered,homeless,2021-03-17,2024-03-20,46,False,False,True,False,False,True,housed,True,p3,VI_SPDAT,2025-01-19,10.0,high,2026-01-24,False,,,none,all_dsa_agencies,CNS-03130,(250) 207-1399,
CLI-0055,ORG-0009,Tracy,riley,Amy,Julie,"September 15, 2007",19,female,non_indigenous,canadian_citizen,False,english,unknown,homeless,2023-09-18,2024-11-02,1054,False,True,False,False,False,False,,False,,VI_SPDAT,2023-11-02,15.0,very_high,06/04/2026,False,,,partial,single_agency_only,CNS-01598,(250) 292-6950,emartin@example.com
CLI-0056,ORG-0006,Anthony,Silva,,,1961-09-27,65,male,non_indigenous,canadian_citizen,False,english,couch_surfing,homeless,2024-09-11,2026-01-09,573,False,True,True,True,False,False,,False,,VI_SPDAT,04/10/2026,14.0,very_high,21/03/2026,False,,,partial,no_sharing,CNS-02496,(250) 498-9414,cody75@example.net
CLI-0057,ORG-0003,Jonathan,Farrell,,,2000-08-11,26,male,non_indigenous,canadian_citizen,False,english,emergency_shelter,homeless,2023-05-15,2025-06-24,672,False,False,False,False,False,False,,False,,local,06/25/2024,9.0,high,2026-04-07,False,,,none,limited_agencies,CNS-00084,(250) 914-1843,jamesrodriguez@example.org
CLI-0058,ORG-0004,Christopher,Yu,Christopher,,1953-05-25,73,male,non_indigenous,canadian_citizen,False,english,transitional_housing,homeless,2019-08-24,25/11/2022,116,True,True,False,False,False,False,,True,p2,VI_SPDAT,2025-09-08,11.0,high,02/15/2026,False,,,partial,single_agency_only,CNS-03636,(250) 588-6477,kyletorres@example.net
CLI-0059,ORG-0009,Cody,larson,,,04/08/1977,49,male,unknown,canadian_citizen,False,english,emergency_shelter,homeless,04/29/2025,2025-12-28,1007,True,True,True,False,False,False,,False,,VI_SPDAT,2023-07-03,16.0,very_high,04/12/2026,False,,,partial,all_dsa_agencies,CNS-04715,250-437-8311,tgarcia@example.net
CLI-0060,ORG-0003,Megan,yOung,David,Pamela,1979-03-24,47,two_spirit,unknown,canadian_citizen,False,english,housed,housed,2023-08-29,2024-12-20,588,True,False,True,False,False,False,,False,,none,,,,2026-02-11,False,,,full,single_agency_only,CNS-01803,(250) 744-6005,ashleymoore@example.org
CLI-0061,ORG-0005,David,WHEELER,Christine,Robert,1961-09-11,65,male,non_indigenous,canadian_citizen,False,english,emergency_shelter,homeless,2022-01-13,01/12/2025,513,True,True,True,True,False,False,,True,p1,local,28/09/2024,15.0,very_high,2026-04-17,False,,,full,single_agency_only,CNS-02081,(250) 383-4480,katiefloyd@example.org
CLI-0062,ORG-0006,Kevin,Mills,Sarah,,1994-12-20,32,male,non_indigenous,canadian_citizen,False,english,housed,housed,01/22/2022,2022-06-30,259,False,False,False,False,False,False,,False,,TAY_VI_SPDAT,2024-11-02,12.0,very_high,2026-03-26,False,,,none,all_dsa_agencies,CNS-02266,250-551-2131,Unknown
CLI-0063,ORG-0004,DAN,Moran,John,,1964-08-05,62,male,non_indigenous,canadian_citizen,False,english,emergency_shelter,homeless,2018-10-11,2024-01-26,94,False,False,False,False,False,True,housed,True,p1,local,2025-05-10,10.0,high,2026-03-07,False,,,none,no_sharing,CNS-04346,250-770-6551,999
CLI-0064,ORG-0007,James,Powers,Kevin,,,63,male,non_indigenous,refugee_claimant,False,english,couch_surfing,homeless,2020-10-11,"May 12, 2023",738,False,True,True,True,False,False,,False,,family,2025-05-08,10.0,high,2026-04-07,False,,,full,limited_agencies,CNS-00093,250-774-9909,thomas45@example.org
CLI-0065,ORG-0004,EMILY,Walton,Charles,,1998-11-23,28,female,non_indigenous,unknown,False,english,emergency_shelter,homeless,24/06/2024,2026-02-26,686,False,False,False,False,False,False,,False,,none,,,,2026-02-23,False,,,full,limited_agencies,CNS-02609,250.699.5444,
CLI-0066,ORG-0007,JUDY,Murillo,,Wendy,Unknown,77,female,non_indigenous,canadian_citizen,False,english,unsheltered,homeless,"April 23, 2024","June 19, 2025",883,True,True,False,False,False,False,,False,,VI_SPDAT,2025-07-10,11.0,high,03/07/2026,False,,,full,limited_agencies,CNS-03389,250-831-4997,ronald66@example.org
CLI-0067,ORG-0001,Angel,Lewis,Joseph,,,20,female,non_indigenous,canadian_citizen,False,english,transitional_housing,homeless,2023-05-17,2024-09-24,448,True,True,False,False,False,False,,False,,VI_SPDAT,2025-01-05,6.0,moderate,2026-02-27,False,,,minimal,single_agency_only,CNS-04434,(250) 589-0544,
CLI-0068,ORG-0009,Timothy,Ibarra,,,1977-06-07,49,male,non_indigenous,canadian_citizen,False,english,couch_surfing,homeless,09/07/2025,12/02/2025,557,True,True,True,False,False,True,inactive,True,p1,VI_SPDAT,"December 22, 2024",5.0,moderate,2026-02-09,False,,,partial,no_sharing,CNS-00098,,
CLI-0069,ORG-0003,Sherry,Wood,Eric,,2002-02-27,24,female,non_indigenous,canadian_citizen,False,english,unsheltered,homeless,06/04/2023,2026-02-27,62,False,True,False,True,False,False,,False,,VI_SPDAT,2024-08-10,10.0,high,2026-01-21,False,,,none,limited_agencies,CNS-00099,(250) 804-0712,
CLI-0070,ORG-0002,Roy,Warner,,,2009-09-05,17,male,non_indigenous,canadian_citizen,False,english,emergency_shelter,homeless,2025-04-16,2025-05-02,221,False,False,True,False,False,False,,True,p1,VI_SPDAT,19/06/2023,11.0,high,2026-03-23,False,,,none,single_agency_only,CNS-00102,250-601-3172,andrew66@example.com
CLI-0071,ORG-0002,Logan,Archer,,,2002-01-08,24,male,unknown,canadian_citizen,False,english,housed,housed,2020-04-29,10/12/2021,845,False,True,True,False,False,False,,False,,TAY_VI_SPDAT,01/12/2026,1.0,low,02/03/2026,False,,,none,limited_agencies,CNS-01636,(250) 460-3119,laurenwilliamson@example.com
CLI-0072,ORG-0002,matthew,Smith,,,2002-12-12,24,male,non_indigenous,canadian_citizen,False,english,hotel_motel,homeless,12/29/2021,2025-02-03,798,True,False,False,False,False,False,,False,,VI_SPDAT,"May 19, 2024",7.0,moderate,"January 28, 2026",False,,,full,single_agency_only,CNS-02658,(250) 843-5649,
CLI-0073,ORG-0003,robert,Evans,Elizabeth,Sheila,1981-02-03,45,male,non_indigenous,other,False,other,unsheltered,homeless,2018-02-21,2021-05-31,877,True,True,True,False,False,True,inactive,True,p3,VI_SPDAT,2026-03-17,1.0,low,2026-03-26,False,,,partial,no_sharing,CNS-04497,(250) 961-4278,ldavid@example.com
CLI-0074,ORG-0003,Chad,Wilson,Daniel,,1993-02-06,33,male,non_indigenous,permanent_resident,False,english,unsheltered,homeless,07/04/2022,2024-02-10,931,True,True,True,False,False,False,,True,p2,VI_SPDAT,10/18/2024,4.0,moderate,04/06/2026,False,,,partial,no_sharing,CNS-01538,250-271-4262,harringtonpeter@example.net
CLI-0075,ORG-0006,Kristen,Nelson,,,1970-11-16,56,two_spirit,non_indigenous,canadian_citizen,False,english,unsheltered,homeless,2026-02-27,2026-03-28,459,True,False,False,False,False,False,,False,,none,,,,03/12/2026,False,,,none,limited_agencies,CNS-03111,(250) 510-7970,
CLI-0076,ORG-0005,Lisa,robbins,,,1976-02-15,50,unknown,non_indigenous,canadian_citizen,True,other,unsheltered,homeless,2018-12-16,2020-03-07,538,False,False,False,False,False,False,,False,,VI_SPDAT,2025-03-29,14.0,very_high,2026-03-02,False,,,none,all_dsa_agencies,CNS-00109,(250) 359-4153,dbrown@example.net
CLI-0077,ORG-0001,Christina,WALTERS,Joseph,,1973-09-19,53,female,non_indigenous,canadian_citizen,False,english,unsheltered,homeless,11/03/2026,2026-03-20,743,False,False,False,True,False,False,,False,,VI_SPDAT,2025-06-16,7.0,moderate,18/04/2026,False,,,none,single_agency_only,CNS-04481,(250) 608-9693,joshua57@example.com
CLI-0078,ORG-0002,Katherine,Whitehead,,,2006-01-26,20,female,first_nations,canadian_citizen,False,english,unsheltered,homeless,2022-06-10,2022-08-08,434,True,False,False,False,False,True,housed,True,p2,TAY_VI_SPDAT,2023-05-09,7.0,moderate,04/02/2026,True,Pauquachin,No secondary use; annual review; nation data steward approval,full,limited_agencies,CNS-00112,250-417-3659,ruiznicole@example.org
CLI-0079,ORG-0006,Sarah,Davis,Rodney,,1995-08-17,31,two_spirit,non_indigenous,canadian_citizen,False,english,unsheltered,homeless,07/16/2025,2025-09-22,671,False,True,False,False,False,False,,False,,family,2025-05-06,12.0,very_high,2026-04-05,False,,,partial,no_sharing,CNS-02072,250-988-8968,
CLI-0080,ORG-0007,Donald,Smith,Kellie,,08/10/1986,40,male,non_indigenous,permanent_resident,False,english,unsheltered,homeless,08/31/2022,2025-02-25,1030,True,True,True,True,False,False,,False,,none,,,,2026-02-16,False,,,minimal,limited_agencies,CNS-04029,,audrey81@example.com
CLI-0081,ORG-0008,Mark,Green,,Joyce,"May 25, 1964",62,male,prefer_not_to_answer,permanent_resident,False,english,couch_surfing,homeless,2021-11-29,05/26/2022,929,False,False,False,True,False,False,,True,p1,local,2024-12-19,11.0,high,"April 19, 2026",False,,,none,limited_agencies,CNS-04895,(250) 414-3859,
CLI-0082,ORG-0003,Juan,Patterson,,Alec,1995-05-20,31,male,non_indigenous,canadian_citizen,False,english,transitional_housing,homeless,10/02/2021,2025-12-21,289,True,True,False,False,False,False,,False,,VI_SPDAT,15/03/2025,16.0,very_high,2026-03-22,False,,,partial,single_agency_only,CNS-02626,(250) 736-7257,N/A
